AAAAA1	AAAAA19
AAAAA2	AAAAA20
AAAAA3	AAAAA21
AAAAA3	AAAAA87
AAAAA4	AAAAA22
AAAAA5	AAAAA23
AAAAA6	AAAAA24
AAAAA7	AAAAA25
AAAAA8	AAAAA26
AAAAA9	AAAAA27
AAAAA10	AAAAA28
AAAAA11	AAAAA29
AAAAA12	AAAAA30
AAAAA13	AAAAA1
AAAAA13	AAAAA387
AAAAA14	AAAAA49
AAAAA15	AAAAA3
AAAAA16	AAAAA4
AAAAA17	AAAAA5
AAAAA18	AAAAA6
AAAAA19	AAAAA7
AAAAA20	AAAAA8
AAAAA21	AAAAA9
AAAAA22	AAAAA10
AAAAA23	AAAAA11
AAAAA24	AAAAA12
AAAAA25	AAAAA13
AAAAA26	AAAAA14
AAAAA27	AAAAA15
AAAAA28	AAAAA70
AAAAA29	AAAAA71
AAAAA30	AAAAA72
AAAAA31	AAAAA73
AAAAA32	AAAAA74
AAAAA33	AAAAA75
AAAAA34	AAAAA76
AAAAA35	AAAAA77
AAAAA36	AAAAA78
AAAAA37	AAAAA79
AAAAA38	AAAAA80
AAAAA39	AAAAA81
AAAAA40	AAAAA82
AAAAA41	AAAAA83
AAAAA42	AAAAA84
AAAAA43	AAAAA85
AAAAA44	AAAAA86
AAAAA45	AAAAA153
AAAAA46	AAAAA154
AAAAA47	AAAAA155
AAAAA48	AAAAA156
AAAAA49	AAAAA157
AAAAA50	AAAAA158
AAAAA51	AAAAA159
AAAAA52	AAAAA160
AAAAA53	AAAAA161
AAAAA54	AAAAA162
AAAAA55	AAAAA163
AAAAA56	AAAAA164
AAAAA57	AAAAA165
AAAAA58	AAAAA166
AAAAA59	AAAAA167
AAAAA60	AAAAA168
AAAAA61	AAAAA169
AAAAA62	AAAAA170
AAAAA63	AAAAA171
AAAAA64	AAAAA172
AAAAA65	AAAAA173
AAAAA66	AAAAA174
AAAAA67	AAAAA175
AAAAA68	AAAAA176
AAAAA69	AAAAA177
AAAAA70	AAAAA178
AAAAA71	AAAAA179
AAAAA72	AAAAA180
AAAAA73	AAAAA181
AAAAA74	AAAAA182
AAAAA75	AAAAA183
AAAAA76	AAAAA184
AAAAA77	AAAAA185
AAAAA78	AAAAA186
AAAAA79	AAAAA187
AAAAA80	AAAAA188
AAAAA81	AAAAA189
AAAAA82	AAAAA190
AAAAA83	AAAAA191
AAAAA84	AAAAA192
AAAAA85	AAAAA193
AAAAA86	AAAAA194
AAAAA87	AAAAA195
AAAAA88	AAAAA196
AAAAA89	AAAAA197
AAAAA90	AAAAA198
AAAAA91	AAAAA199
AAAAA92	AAAAA200
AAAAA93	AAAAA201
AAAAA94	AAAAA202
AAAAA95	AAAAA203
AAAAA96	AAAAA204
AAAAA97	AAAAA205
AAAAA98	AAAAA206
AAAAA99	AAAAA207
AAAAA100	AAAAA208
AAAAA101	AAAAA209
AAAAA102	AAAAA210
AAAAA103	AAAAA211
AAAAA104	AAAAA212
AAAAA105	AAAAA213
AAAAA106	AAAAA214
AAAAA107	AAAAA215
AAAAA108	AAAAA216
AAAAA109	AAAAA217
AAAAA110	AAAAA218
AAAAA111	AAAAA219
AAAAA112	AAAAA220
AAAAA113	AAAAA221
AAAAA114	AAAAA222
AAAAA115	AAAAA223
AAAAA116	AAAAA224
AAAAA117	AAAAA225
AAAAA118	AAAAA226
AAAAA119	AAAAA227
AAAAA120	AAAAA228
AAAAA121	AAAAA229
AAAAA122	AAAAA230
AAAAA123	AAAAA231
AAAAA124	AAAAA232
AAAAA125	AAAAA233
AAAAA126	AAAAA234
AAAAA127	AAAAA235
AAAAA128	AAAAA236
AAAAA129	AAAAA237
AAAAA130	AAAAA238
AAAAA131	AAAAA239
AAAAA132	AAAAA240
AAAAA133	AAAAA241
AAAAA134	AAAAA242
AAAAA135	AAAAA243
AAAAA136	AAAAA244
AAAAA137	AAAAA245
AAAAA138	AAAAA246
AAAAA139	AAAAA247
AAAAA140	AAAAA248
AAAAA141	AAAAA249
AAAAA142	AAAAA250
AAAAA143	AAAAA251
AAAAA144	AAAAA252
AAAAA145	AAAAA253
AAAAA146	AAAAA254
AAAAA147	AAAAA255
AAAAA148	AAAAA256
AAAAA149	AAAAA257
AAAAA150	AAAAA258
AAAAA151	AAAAA259
AAAAA152	AAAAA260
AAAAA153	AAAAA261
AAAAA154	AAAAA262
AAAAA155	AAAAA263
AAAAA156	AAAAA264
AAAAA157	AAAAA265
AAAAA158	AAAAA266
AAAAA159	AAAAA267
AAAAA160	AAAAA268
AAAAA161	AAAAA269
AAAAA162	AAAAA270
AAAAA163	AAAAA271
AAAAA164	AAAAA272
AAAAA165	AAAAA273
AAAAA166	AAAAA274
AAAAA167	AAAAA275
AAAAA168	AAAAA276
AAAAA169	AAAAA277
AAAAA170	AAAAA278
AAAAA171	AAAAA279
AAAAA172	AAAAA280
AAAAA173	AAAAA281
AAAAA174	AAAAA282
AAAAA175	AAAAA283
AAAAA176	AAAAA284
AAAAA177	AAAAA285
AAAAA178	AAAAA286
AAAAA179	AAAAA287
AAAAA180	AAAAA288
AAAAA181	AAAAA289
AAAAA182	AAAAA290
AAAAA183	AAAAA291
AAAAA184	AAAAA292
AAAAA185	AAAAA293
AAAAA186	AAAAA294
AAAAA187	AAAAA295
AAAAA188	AAAAA296
AAAAA189	AAAAA297
AAAAA190	AAAAA298
AAAAA191	AAAAA299
AAAAA192	AAAAA300
AAAAA193	AAAAA301
AAAAA194	AAAAA302
AAAAA195	AAAAA303
AAAAA196	AAAAA304
AAAAA197	AAAAA305
AAAAA198	AAAAA305
AAAAA199	AAAAA305
AAAAA200	AAAAA305
AAAAA201	AAAAA305
AAAAA202	AAAAA305
AAAAA203	AAAAA305
AAAAA204	AAAAA305
AAAAA205	AAAAA305
AAAAA206	AAAAA305
AAAAA207	AAAAA305
AAAAA208	AAAAA305
AAAAA209	AAAAA305
AAAAA210	AAAAA305
AAAAA211	AAAAA269
AAAAA212	AAAAA269
AAAAA213	AAAAA269
AAAAA214	AAAAA269
AAAAA215	AAAAA269
AAAAA216	AAAAA269
AAAAA217	AAAAA269
AAAAA218	AAAAA269
AAAAA219	AAAAA269
AAAAA220	AAAAA269
AAAAA221	AAAAA269
AAAAA222	AAAAA269
AAAAA223	AAAAA269
AAAAA224	AAAAA269
AAAAA225	AAAAA269
AAAAA226	AAAAA269
AAAAA227	AAAAA269
AAAAA228	AAAAA269
AAAAA229	AAAAA269
AAAAA230	AAAAA269
AAAAA231	AAAAA77
AAAAA232	AAAAA77
AAAAA233	AAAAA77
AAAAA234	AAAAA77
AAAAA235	AAAAA77
AAAAA236	AAAAA77
AAAAA237	AAAAA77
AAAAA238	AAAAA77
AAAAA239	AAAAA77
AAAAA240	AAAAA77
AAAAA241	AAAAA77
AAAAA242	AAAAA77
AAAAA243	AAAAA77
AAAAA244	AAAAA77
AAAAA245	AAAAA77
AAAAA246	AAAAA77
AAAAA247	AAAAA77
AAAAA248	AAAAA77
AAAAA249	AAAAA77
AAAAA250	AAAAA77
AAAAA251	AAAAA77
AAAAA252	AAAAA77
AAAAA253	AAAAA77
AAAAA254	AAAAA77
AAAAA255	AAAAA77
AAAAA256	AAAAA77
AAAAA257	AAAAA77
AAAAA258	AAAAA77
AAAAA259	AAAAA77
AAAAA260	AAAAA77
AAAAA261	AAAAA77
AAAAA262	AAAAA77
AAAAA263	AAAAA77
AAAAA264	AAAAA77
AAAAA265	AAAAA77
AAAAA266	AAAAA77
AAAAA267	AAAAA77
AAAAA268	AAAAA77
AAAAA269	AAAAA77
AAAAA270	AAAAA77
AAAAA271	AAAAA77
AAAAA272	AAAAA77
AAAAA273	AAAAA77
AAAAA274	AAAAA77
AAAAA275	AAAAA77
AAAAA276	AAAAA77
AAAAA277	AAAAA77
AAAAA278	AAAAA77
AAAAA279	AAAAA77
AAAAA280	AAAAA77
AAAAA281	AAAAA77
AAAAA282	AAAAA77
AAAAA283	AAAAA77
AAAAA284	AAAAA77
AAAAA285	AAAAA77
AAAAA286	AAAAA77
AAAAA287	AAAAA77
AAAAA288	AAAAA77
AAAAA289	AAAAA77
AAAAA290	AAAAA77
AAAAA291	AAAAA77
AAAAA292	AAAAA77
AAAAA293	AAAAA77
AAAAA294	AAAAA77
AAAAA295	AAAAA77
AAAAA296	AAAAA77
AAAAA297	AAAAA77
AAAAA298	AAAAA77
